aubergine Bonica F1,1
aubergine listada da Gandía,1
aubergine blanche ronde à oeufs,1
tomate ronde,2
tomate noire de Crimée,2
tomate cuor di bue,2
tomate la carotina,2
girolle,41 
cèpes,41
chanterelles,41
pleurote,41
shiitake,41
oignon blanc,35
oignon jaune,35
oignon rouge,35
navet violet,33
navet jaune,33
mâche,30
pissenlit,30
batavia,30
roquette,30
