distribution_id,jardin_id,tournee_id,depot_id,ordre
1,1,2,1,1
3,1,11,25,1
4,1,11,26,2
5,1,12,25,1
6,1,4,9,1
8,1,7,3,2
9,1,10,15,1
12,1,7,7,3
13,1,4,13,5
14,1,3,4,5
19,1,3,7,2
23,1,1,7,7
22,1,7,4,4
24,1,7,6,5
26,1,4,12,4
28,1,1,4,2
29,1,3,6,6
31,1,3,8,4
35,1,6,1,1
42,1,3,3,1
43,1,9,23,1
44,1,7,14,2
45,1,9,22,3
46,1,9,24,4
49,1,1,6,6
50,1,4,10,2
57,1,4,11,3
62,1,1,14,3
64,1,3,14,3
75,1,1,5,5
21,1,9,21,2
27,1,5,1,1
70,1,1,3,1
60,1,10,16,3
55,1,10,17,4
20,1,10,18,5
17,1,10,19,6
11,1,8,1,1
