"id","nom","voie","codepostal","ville","st_y","st_x"
8331,"Ugc Danton","99 BD ST GERMAIN","Paris 6e Arrondissement","48.852138","2.338995"
8341,"Nouvel Odeon","6 RUE DE L ECOLE DE MEDECINE","Paris 6e Arrondissement","48.850764","2.341747"
8353,"Ugc Odeon","124 BD ST GERMAIN","Paris 6e Arrondissement","48.852353","2.339834"
8361,"Espace Saint Michel","7 PLACE ST MICHEL","Paris 5e Arrondissement","48.853093","2.344228"
8374,"Ecoles Cinéma Club","23 RUE DES ECOLES","Paris 5e Arrondissement","48.848384","2.348973"
8391,"Le Cinéma Du Pantheon","13 RUE VICTOR COUSIN","Paris 5e Arrondissement","48.847502","2.342301"
8422,"Le Champo","51 RUE DES ECOLES","Paris 5e Arrondissement","48.849983","2.343211"
8425,"Quartier Latin I","9 RUE CHAMPOLLION","Paris 5e Arrondissement","48.849504","2.342788"
8451,"Studio Des Ursulines","10 RUE DES URSULINES","Paris 5e Arrondissement","48.842733","2.342044"
8513,"Reflet Medicis 2","7 RUE CHAMPOLLION","Paris 5e Arrondissement","48.849591","2.342836"
8514,"Epee De Bois","100 RUE MOUFFETARD","Paris 5e Arrondissement","48.841535","2.34958"
8531,"Le Grand Action","5 RUE DES ECOLES","Paris 5e Arrondissement","48.847537","2.352122"
8621,"Les Fauvettes","58 AVENUE DES GOBELINS","Paris 13e Arrondissement","48.833574","2.353775"
8632,"Ugc  Gobelins","66 BIS AV DES GOBELINS","Paris 13e Arrondissement","48.832888","2.354241"
8661,"Escurial","11 BD PORT ROYAL","Paris 13e Arrondissement","48.836817","2.349632"
9452,"Le Louxor","170 BOULEVARD DE MAGENTA","Paris 10e Arrondissement","48.883487","2.349853"
9600,"Mk2 Bibliotheque","128 A 162 AVENUE DE FRANCE","Paris 13e Arrondissement","48.833718","2.373922"
9616,"Mk2 A&E","15/43 QUAI FRANCOIS MAURIAC","Paris 13e Arrondissement","48.832993","2.378615"
9700,"Pathé Beaugrenelle","7 RUE LINOIS","Paris 15e Arrondissement","48.848895","2.282585"
9802,"Club De L Etoile","14 RUE TROYON","Paris 17e Arrondissement","48.876113","2.295345"
9803,"Les 7 Batignolles Cinemovida","ALLEE COLETTE HEILBRONNER","Paris 17e Arrondissement","48.893315","2.311503"
9900,"Mk2 Quai De Loire","5/19 QUAI DE LA LOIRE","Paris 19e Arrondissement","48.885067","2.374123"
9906,"Ugc Cine Cite Paris 19","166 BOULEVARD MAC DONALD","Paris 19e Arrondissement","48.898991","2.376757"
9920,"Pathé","30 av CORENTIN CARIOU","Paris 19e Arrondissement","48.897016","2.385181"
9950,"Cgr Paris Lilas","PLACE DU MAQUIS DU VERCORS","Paris 20e Arrondissement","48.852605","2.406733"
10184,"Rex","26 PLACE CLEMENCEAU","Abbeville","50.108677","1.834667"
10192,"Cgr Abbeville La Sucrerie","2 RUE DE MENCHECOURT","Abbeville","50.115049","1.824393"
10992,"Pandora","6 ALLEE SIMONE SIGNORET","Achères","48.960956","2.067774"
11101,"Le Foyer","RUE DU STADE","Acigné","48.135609","-1.537695"
11527,"Travelling","RUE BRESCOU","Agde","43.31185","3.473009"
11592,"Cgr Agen","PLACE DU PIN","Agen","44.204567","0.624721"
11854,"Cinéma De L'espace","AVENUE ROOSEVELT","Agon-Coutainville","49.048659","-1.595352"
12101,"L'Aiglon","7 RUE DU DOCTEUR ROUYER","L'Aigle","48.762976","0.62734"
12401,"Studio","VALMOREL","Les Avanchers-Valmorel","45.46071","6.441929"
12454,"Cinéma Municipal Marcel Pagnol","9 RUE VICTOR HUGO","Aigues-Mortes","43.566091","4.189267"
12562,"Theophile De Viau","PLACE DE LA MAIRIE","Aiguillon","44.299994","0.336667"
12612,"Cinéma Moderne","CHEMIN DU CINEMA","Aigurande","46.431926","1.830697"
12833," La Salle De Spectacle Et Le Cinéma","","Aime-la-Plagne","45.555539","6.651442"
13151,"Galaxie","16 av DES PYRENEES","Aire-sur-L'Adour","43.699953","-0.265292"
13161,"Espace Culturel Area","6 PLACE DU CHATEAU","Aire-sur-la-Lys","50.639733","2.390569"
13405,"Renoir","24 COURS MIRABEAU","Aix-en-Provence","43.526562","5.448932"
13413,"Cezanne","1 RUE MARCEL GUILLAUME","Aix-en-Provence","43.525387","5.446893"
13423,"Le Mazarin","3TER RUE MAZARINE - 6 RUE LAROQU","Aix-en-Provence","43.526103","5.448686"
13454,"Armand Lunel","RUE DES ALLUMETTES","Aix-en-Provence","43.524462","5.439812"
13513,"Victoria","36 AV VICTORIA","Aix-les-Bains","45.68994","5.909791"
13622,"Espace Culturel Villeneuve","ROUTE DE CHALLANS","Aizenay","46.744249","-1.6164029999999912"
13684,"Auditorium Pascal Paoli","QUAI L'HERMINIER BP 253","Ajaccio","41.921426","8.739468"
13685,"Espace Diamant","BOULEVARD PASCAL ROSSIMI","Ajaccio","41.915976","8.731036"
13686,"L Ellipse","BD LOUIS CAMPI","Ajaccio","41.943558","8.753935"
13692,"Palais Des Congres","QUAI L'HERMINIER","Ajaccio","41.921426","8.739468"
14033,"Le Casino","29 RUE DE BOULAN","Albert","50.004652","2.648257"
14071,"Le Dome Gambetta","12 RUE GAMBETTA","Albertville","45.677069","6.392496"
14073,"Le Dome","135 PLACE DE L'EUROPE","Albertville","45.676502","6.391967"
