id,title,title_original,year,release,runtime
4e7872c0-5351-471d-b26f-27a6f90fdfed,Le ninja blanc,American Ninja 2: The Confrontation,1987,1987-07-22,90
ca94860d-56c2-4b68-ac00-6d48d0de8ee4,Predator,Predator,1987,1987-08-19,107
0855b28a-f73d-4302-8d48-2a2353d08321,Le flic de Beverly Hills 2,Beverly Hills Cop II,1987,1987-08-26,100
26dfc3f2-ebe2-4410-b84a-8046864f62af,Full Metal Jacket,Full Metal Jacket,1987,1987-10-21,116
06480b5c-ced6-42bc-8bbc-9747023cf799,Black Cobra,Cobra nero,1987,1987-12-18,85
babad69c-d9e9-4668-93da-f12899a80b45,Danse lascive,Dirty Dancing,1987,1987-12-23,100
520d36be-24be-4e74-857d-c27b2f9e1f83,RoboCop,RoboCop,1987,1988-01-20,102
2f9676ba-0fba-42cc-b4e9-1a0a48b21260,Balance maman hors du train,Throw Momma from the Train,1987,1988-06-22,88
5b946f8f-76e1-46cd-b2f9-e5f85d10af02,Delta Force Commando,Delta Force Commando,1988,1988-04-09,89
2498a617-cc8d-4ef0-81a4-c992339c957f,Le retour des morts vivants II,Return of the Living Dead: Part II,1988,1988-05-04,89
3d3ea7a8-8b5b-4392-81bb-d08dde330acc,Nico,Above the Law,1988,1988-08-16,99
0bed1543-84ac-4c53-be68-43299ced4897,Platoon Leader,Platoon Leader,1988,1988-10-01,97
e90836cf-cc5f-477d-9ca1-a44f1bd95abf,Rambo III,Rambo III,1988,1988-10-26,102
0159b5a8-6005-48df-8193-4a33c3f3f07a,Willow,Willow,1988,1988-12-14,126
3e0b4a6e-ac31-4eea-80c8-23bd7392884c,Un poisson nommé Wanda,A Fish Called Wanda,1988,1989-01-18,108
0e872cc4-c429-428c-8c71-a62fb4c24c96,Aigle de fer II,Iron Eagle II,1988,1989-02-15,105
d8e8472a-a08d-4c0a-a68f-9c058a83dc27,Haute sécurité,Lock Up,1989,1989-08-30,109
1ffb3a43-6fe7-4bb2-82c6-622a79004264,Abyss,The Abyss,1989,1989-09-27,140
b5142384-c03e-4d50-93e0-75a438484955,The Black Cobra 2,The Black Cobra 2,1989,1989-12-16,94
f24aa41e-effb-4ab0-8068-3fd89eaa907e,36.15 code Père Noël,,1989,1990-01-17,87
84ed3f64-88ea-4e96-a670-0f3095ececf2,Tango et Cash,Tango & Cash,1989,1990-03-28,104
97d149d2-57d0-489c-93e7-6d8adcc0f9f9,Full Contact,Lionheart,1990,1990-08-01,108
bd4537b9-afdc-494d-ac70-76cab133fa4c,48 heures de plus,Another 48 Hrs.,1990,1990-08-15,93
dc18e978-7d17-4d05-ac8e-678a609fbcc7,Rocky V,Rocky V,1990,1990-12-19,104
e4e5143d-c8b6-44ae-8d83-0699c1fb9272,Backdraft,Backdraft,1991,1991-09-25,137
43cf3e92-abba-4b8a-aaeb-b9b124458ea3,My Girl,My Girl,1991,1992-06-24,102
0ae7f4b9-cd5d-4740-ab4b-24d5faeac626,Basic Instinct,Basic Instinct,1992,1992-05-08,127
110d3753-c18e-45b8-9f4d-cf2736abe00a,Aces: Iron Eagle III,Aces: Iron Eagle III,1992,1992-07-22,98
d765d21d-1675-46ad-a107-13461fc86157,Fortress,Fortress,1992,1993-03-17,95
1df31ff4-6bf4-4cdd-b8ed-2f8067a8d5db,Tombstone,Tombstone,1993,1994-02-16,130
428373c3-7ce0-44c2-b46b-3e5ed3c019b3,Ultime décision,Executive Decision,1996,1996-05-01,133
7abca311-7572-49bb-8565-e3648fcb1989,The Big Lebowski,The Big Lebowski,1998,1998-04-22,117
318660da-1c50-40f0-9f4c-2291ec6ee0c6,Virus cannibale,Virus,1980,1982-11-10,99
6277443a-d0cc-4c54-bcde-3f43c896503d,Un jour sans fin,Groundhog Day,1993,1993-07-28,101
4544a546-42da-4757-8499-041a20af38c9,Black Cobra 2,The Black Cobra 2,1988,1990-03-19,94
bda4765b-36ed-4693-b2af-e3d2ecec462b,Delta Force,Delta Force,1986,1986-04-16,125
98d9d80d-1d62-4733-8376-8a45c2becbfb,Thelma et Louise,Thelma & Louise,1991,1991-05-29,130
a09cc505-1e03-49ec-9500-63478944a532,Les bronzés,,1978,1978-11-22,87
33569568-7c3e-4baa-84a8-cae15dca2350,Les bronzés font du ski,,1979,1979-11-22,90
51fecd44-437f-490e-9bcd-e3a386e95932,La Chèvre,,1981,1981-12-09,95
ecfc4dc1-57a8-4ef7-978f-0ee5f38843cb,Les Compères,,1983,1983-11-23,92
af80d4cc-e34a-48d0-85ed-a1227216eb88,Un génie\, deux associés\, une cloche,Un genio\, due compari\, un pollo,1975,1976-01-21,126
4636157e-7ed8-4472-bd59-cb5442604773,Ma femme s'appelle reviens,,1982,1982-01-27,85
e29b1921-ee51-4b5d-8b1e-a231760e67fa,On l'appelle Trinita,Lo chiamavano Trinità...,1970,1971-07-21,115
33105a50-035c-4b5c-9104-d9e7a86fe421,On continue à l'appeler Trinita,Continuavano a chiamarlo Trinità,1971,1972-03-15,108
0ae82a80-bedc-4bc2-b6d7-d7eaab3d8bac,Kramer contre Kramer,Kramer vs. Kramer,1979,1980-02-27,105
cb500bc6-ef03-4205-86fe-33d0c6d2ec11,Hocus Pocus : Les trois sorcières,Hocus Pocus,1993,1994-01-26,96
08d8ac52-4e53-4810-abe5-d9fd59025be8,Circulez y a rien à voir !,,1983,1983-04-20,104
6076c30d-c5ab-4e95-971a-425f2f4aa075,Le silence des agneaux,The Silence of the Lambs,1991,1991-04-10,118
1a316e25-c81d-4a98-92ec-7147c6c72ff1,Le père Noël est une ordure !,,1982,1982-08-25,88
48535f31-8882-4263-af41-c9c0f87c8a1c,Signes extérieurs de richesse,,1983,1983-11-09,92
fe63a509-ad1d-4960-b4a9-b704a6aa9ea0,La boum,,1980,1980-12-17,110
771f7f14-bdbf-4c61-8758-5bd200dbeada,Debout les crabes\, la mer monte !,,1983,1983-08-17,90
1a2693ad-3f29-408b-8b7c-b490f2287f7e,Poltergeist : La Vengeance des fantômes,Poltergeist,1982,1982-10-20,114
a4332d5e-a26f-46dc-9a57-c8ef53f5c3b0,La Tour infernale,The Towering Inferno,1974,1975-03-05,165
3b84cea3-1fc0-46e2-9288-c5bfa0ebf6d9,L'Aventure du Poséidon,The Poseidon Adventure,1972,1973-03-29,117
ac7b9722-cae7-460d-a2d9-bf2594c2f035,Le Pont de Cassandra,The Cassandra Crossing,1976,1977-06-15,129
b3b77d09-7b54-4c92-9b52-f71b57202f37,Le Syndrome chinois,The China Syndrome,1979,1979-12-09,122
46b5ed45-a5bd-4f51-8f0a-54e647ebc7ce,La Grande menace,The Medusa Touch,1978,1978-11-22,105
540ef20e-292e-49ec-b2c4-584501eef931,Dikkenek,,2006,2006-06-21,84
b9eaf0c7-062e-4a1c-8431-f51b31088290,L'Équipée du Cannonball,The Cannonball Run,1981,1981-07-08,85
